,source,target,rel,SOURCE
69254,risperidone,influenza like illness,Adverse event,SIDER
69255,risperidone,initial insomnia,Adverse event,SIDER
69256,risperidone,injection site abscess,Adverse event,SIDER
69257,risperidone,injection site cellulitis,Adverse event,SIDER
69258,risperidone,injection site cyst,Adverse event,SIDER
69259,risperidone,injection site haematoma,Adverse event,SIDER
69260,risperidone,injection site induration,Adverse event,SIDER
69261,risperidone,injection site necrosis,Adverse event,SIDER
69262,risperidone,injection site pain,Adverse event,SIDER
69263,risperidone,injection site reaction,Adverse event,SIDER
69264,risperidone,injection site swelling,Adverse event,SIDER
69265,risperidone,injection site ulcer,Adverse event,SIDER
69269,risperidone,intestinal obstruction,Adverse event,SIDER
69274,risperidone,joint stiffness,Adverse event,SIDER
69276,risperidone,lacrimal disorder,Adverse event,SIDER
69277,risperidone,lacrimation disorder,Adverse event,SIDER
69280,risperidone,laryngeal pain,Adverse event,SIDER
69281,risperidone,laryngeal pain,Adverse event,BNF
69283,risperidone,laryngotracheal oedema,Adverse event,SIDER
69284,risperidone,lethargy,Adverse event,SIDER
69288,risperidone,libido decreased,Adverse event,SIDER
69289,risperidone,libido increased,Adverse event,SIDER
69290,risperidone,lichenoid keratosis,Adverse event,SIDER
69291,risperidone,lip swelling,Adverse event,SIDER
69294,risperidone,localised infection,Adverse event,SIDER
69295,risperidone,long qt syndrome,Adverse event,SIDER
69296,risperidone,long qt syndrome congenital,Adverse event,SIDER
69299,risperidone,lymphadenopathy,Adverse event,SIDER
69300,risperidone,lymphopenia,Adverse event,SIDER
69307,risperidone,masked facies,Adverse event,SIDER
69308,risperidone,mastitis,Adverse event,SIDER
69310,risperidone,melaena,Adverse event,SIDER
69312,risperidone,menstrual disorder,Adverse event,SIDER
69313,risperidone,menstruation delayed,Adverse event,SIDER
69314,risperidone,menstruation irregular,Adverse event,SIDER
69315,risperidone,menstruation irregular,Adverse event,BNF
69322,risperidone,metrorrhagia,Adverse event,SIDER
69327,risperidone,mouth ulceration,Adverse event,SIDER
69330,risperidone,muscle contractions involuntary,Adverse event,SIDER
69331,risperidone,muscle contracture,Adverse event,SIDER
69332,risperidone,muscle relaxant therapy,Adverse event,SIDER
69336,risperidone,muscle tightness,Adverse event,SIDER
69340,risperidone,musculoskeletal chest pain,Adverse event,SIDER
69350,risperidone,myoglobin urine present,Adverse event,SIDER
69351,risperidone,myoglobinuria,Adverse event,SIDER
69355,risperidone,nasal oedema,Adverse event,SIDER
69360,risperidone,necrosis,Adverse event,SIDER
69370,risperidone,nightmare,Adverse event,SIDER
69371,risperidone,nodule,Adverse event,SIDER
69372,risperidone,normochromic normocytic anaemia,Adverse event,SIDER
69373,risperidone,normocytic anaemia,Adverse event,SIDER
69377,risperidone,oculogyric crisis,Adverse event,SIDER
69378,risperidone,oculorespiratory syndrome,Adverse event,SIDER
69381,risperidone,oedema mouth,Adverse event,SIDER
69383,risperidone,oesophageal motility disorder,Adverse event,SIDER
69387,risperidone,opisthotonus,Adverse event,SIDER
69388,risperidone,oral disorder,Adverse event,BNF
69389,risperidone,oropharyngeal spasm,Adverse event,SIDER
69392,risperidone,osteodystrophy,Adverse event,SIDER
69397,risperidone,pain in extremity,Adverse event,SIDER
69401,risperidone,pancreatic neoplasm,Adverse event,SIDER
69405,risperidone,paralysis,Adverse event,SIDER
69406,risperidone,paranoia,Adverse event,SIDER
69409,risperidone,parkinsonian rest tremor,Adverse event,SIDER
69413,risperidone,perineal pain,Adverse event,SIDER
69414,risperidone,periorbital oedema,Adverse event,SIDER
69415,risperidone,peripheral coldness,Adverse event,SIDER
69416,risperidone,peripheral coldness,Adverse event,BNF
69418,risperidone,phenylketonuria,Adverse event,SIDER
69419,risperidone,phlebitis,Adverse event,SIDER
69420,risperidone,phlebitis superficial,Adverse event,SIDER
69422,risperidone,photopsia,Adverse event,SIDER
69426,risperidone,platelet count decreased,Adverse event,SIDER
69427,risperidone,platelet production decreased,Adverse event,SIDER
69428,risperidone,plateletcrit decreased,Adverse event,SIDER
69429,risperidone,pleurothotonus,Adverse event,SIDER
69436,risperidone,postural orthostatic tachycardia syndrome,Adverse event,SIDER
69437,risperidone,posture abnormal,Adverse event,SIDER
69438,risperidone,posture abnormal,Adverse event,BNF
69440,risperidone,precocious puberty,Adverse event,SIDER
69443,risperidone,priapism,Adverse event,SIDER
69446,risperidone,productive cough,Adverse event,SIDER
69448,risperidone,pruritus generalised,Adverse event,SIDER
69453,risperidone,pulmonary congestion,Adverse event,SIDER
69457,risperidone,pyrexia,Adverse event,SIDER
69458,risperidone,pyrexia,Adverse event,BNF
69459,risperidone,rales,Adverse event,SIDER
69462,risperidone,rash erythematous,Adverse event,SIDER
69463,risperidone,rash generalised,Adverse event,SIDER
69464,risperidone,rash maculo-papular,Adverse event,SIDER
69465,risperidone,rash papular,Adverse event,SIDER
69466,risperidone,rectal haemorrhage,Adverse event,SIDER
69467,risperidone,red blood cell disorders,Adverse event,SIDER
69473,risperidone,renal pain,Adverse event,SIDER
69475,risperidone,respiratory disorder,Adverse event,BNF
69476,risperidone,respiratory tract congestion,Adverse event,SIDER
69480,risperidone,retinal artery occlusion,Adverse event,SIDER
69481,risperidone,retrograde ejaculation,Adverse event,SIDER
69482,risperidone,reye's syndrome,Adverse event,SIDER
69483,risperidone,rhabdomyolysis,Adverse event,SIDER
69484,risperidone,rhabdomyolysis,Adverse event,BNF
69487,risperidone,risus sardonicus,Adverse event,SIDER
69488,risperidone,salivary hypersecretion,Adverse event,SIDER
69501,risperidone,sinus bradycardia,Adverse event,SIDER
69505,risperidone,skin discolouration,Adverse event,SIDER
69508,risperidone,skin lesion,Adverse event,SIDER
69509,risperidone,skin papilloma,Adverse event,SIDER
69510,risperidone,skin reaction,Adverse event,BNF
69512,risperidone,sleep apnoea syndrome,Adverse event,SIDER
69513,risperidone,sleep apnoea syndrome,Adverse event,BNF
69516,risperidone,sluggishness,Adverse event,SIDER
69517,risperidone,small bowel angioedema,Adverse event,SIDER
69521,risperidone,speech disorder,Adverse event,SIDER
69524,risperidone,stomatitis,Adverse event,SIDER
69525,risperidone,stridor,Adverse event,SIDER
69535,risperidone,swollen tongue,Adverse event,SIDER
69541,risperidone,taste disorder,Adverse event,BNF
69546,risperidone,thinking abnormal,Adverse event,SIDER
69547,risperidone,thirst,Adverse event,SIDER
69548,risperidone,thirst,Adverse event,BNF
69549,risperidone,throat tightness,Adverse event,SIDER
69553,risperidone,thrombotic thrombocytopenic purpura,Adverse event,SIDER
69554,risperidone,tinnitus,Adverse event,SIDER
69555,risperidone,tinnitus,Adverse event,BNF
69556,risperidone,tongue discolouration,Adverse event,SIDER
69557,risperidone,tongue disorder,Adverse event,SIDER
69558,risperidone,tongue oedema,Adverse event,SIDER
69559,risperidone,tongue paralysis,Adverse event,SIDER
69560,risperidone,tongue spasm,Adverse event,SIDER
69562,risperidone,tooth disorder,Adverse event,SIDER
69565,risperidone,torticollis,Adverse event,SIDER
69568,risperidone,transaminases increased,Adverse event,SIDER
69572,risperidone,trismus,Adverse event,SIDER
69574,risperidone,unresponsive to stimuli,Adverse event,SIDER
69587,risperidone,vaginal haemorrhage,Adverse event,SIDER
69590,risperidone,vascular purpura,Adverse event,SIDER
69595,risperidone,vertigo,Adverse event,SIDER
69596,risperidone,vertigo,Adverse event,BNF
69599,risperidone,vision disorders,Adverse event,BNF
69600,risperidone,visual acuity reduced,Adverse event,SIDER
69601,risperidone,visual impairment,Adverse event,SIDER
69604,risperidone,vulvovaginal dryness,Adverse event,SIDER
69605,risperidone,water intoxication,Adverse event,SIDER
69606,risperidone,water intoxication,Adverse event,BNF
69611,risperidone,wheezing,Adverse event,SIDER
69615,risperidone,xerophthalmia,Adverse event,SIDER
69616,risperidone,yawning,Adverse event,SIDER
69620,ritonavir,abnormal dreams,Adverse event,SIDER
69621,ritonavir,abnormal faeces,Adverse event,SIDER
69629,ritonavir,ageusia,Adverse event,SIDER
69632,ritonavir,alcohol intolerance,Adverse event,SIDER
69633,ritonavir,alopecia,Adverse event,BNF
69634,ritonavir,amblyopia,Adverse event,SIDER
69641,ritonavir,anorectal disorder,Adverse event,SIDER
69644,ritonavir,aphasia,Adverse event,SIDER
69645,ritonavir,appetite disorder,Adverse event,BNF
69650,ritonavir,aspartate aminotransferase increased,Adverse event,SIDER
69657,ritonavir,atrioventricular block second degree,Adverse event,SIDER
69664,ritonavir,blood creatine phosphokinase increased,Adverse event,SIDER
69666,ritonavir,blood urea increased,Adverse event,SIDER
69667,ritonavir,body temperature decreased,Adverse event,SIDER
69675,ritonavir,cachexia,Adverse event,SIDER
69679,ritonavir,cerebral ischaemia,Adverse event,SIDER
69680,ritonavir,cerebral venous thrombosis,Adverse event,SIDER
69681,ritonavir,cheilitis,Adverse event,SIDER
69684,ritonavir,cholangitis,Adverse event,SIDER
69707,ritonavir,depressed level of consciousness,Adverse event,SIDER
69718,ritonavir,diarrhoea haemorrhagic,Adverse event,SIDER
69719,ritonavir,diplopia,Adverse event,SIDER
69723,ritonavir,disturbance in sexual arousal,Adverse event,SIDER
69736,ritonavir,dysuria,Adverse event,SIDER
69738,ritonavir,ecchymosis,Adverse event,SIDER
69742,ritonavir,enzyme abnormality,Adverse event,SIDER
69743,ritonavir,epistaxis,Adverse event,SIDER
69745,ritonavir,eructation,Adverse event,SIDER
69749,ritonavir,eye pain,Adverse event,SIDER
69750,ritonavir,face oedema,Adverse event,SIDER
69754,ritonavir,faecal incontinence,Adverse event,SIDER
69756,ritonavir,fat redistribution,Adverse event,SIDER
69759,ritonavir,feeling hot,Adverse event,SIDER
69760,ritonavir,feeling hot,Adverse event,BNF
69767,ritonavir,gait disturbance,Adverse event,SIDER
69777,ritonavir,glycosuria,Adverse event,SIDER
69781,ritonavir,haematuria,Adverse event,SIDER
69783,ritonavir,haemophilia,Adverse event,SIDER
69790,ritonavir,hepatobiliary disease,Adverse event,SIDER
69792,ritonavir,hepatomegaly,Adverse event,SIDER
69793,ritonavir,hepatosplenomegaly,Adverse event,SIDER
69796,ritonavir,hormone level abnormal,Adverse event,SIDER
69797,ritonavir,hyperaesthesia,Adverse event,SIDER
69798,ritonavir,hyperamylasaemia,Adverse event,SIDER
69813,ritonavir,hypothermia,Adverse event,SIDER
69815,ritonavir,hypovitaminosis,Adverse event,SIDER
69817,ritonavir,ileitis,Adverse event,SIDER
69818,ritonavir,ileus,Adverse event,SIDER
69819,ritonavir,ill-defined disorder,Adverse event,SIDER
69820,ritonavir,immune reconstitution inflammatory syndrome,Adverse event,BNF
69821,ritonavir,immune system disorder,Adverse event,SIDER
69832,ritonavir,libido decreased,Adverse event,SIDER
69833,ritonavir,lipodystrophy acquired,Adverse event,SIDER
69835,ritonavir,liver function test abnormal,Adverse event,SIDER
69839,ritonavir,lymphadenopathy,Adverse event,SIDER
69840,ritonavir,lymphocytosis,Adverse event,SIDER
69847,ritonavir,melaena,Adverse event,SIDER
69853,ritonavir,molluscum contagiosum,Adverse event,SIDER
69855,ritonavir,mouth ulceration,Adverse event,SIDER
69856,ritonavir,mouth ulceration,Adverse event,BNF
69857,ritonavir,muscle related signs and symptoms nec,Adverse event,BNF
69867,ritonavir,myopathy,Adverse event,SIDER
69868,ritonavir,myopathy,Adverse event,BNF
69886,ritonavir,oesophageal ulcer,Adverse event,SIDER
69889,ritonavir,ophthalmoplegia,Adverse event,SIDER
69895,ritonavir,osteonecrosis,Adverse event,BNF
69902,ritonavir,paraesthesia oral,Adverse event,SIDER
69903,ritonavir,paraesthesia oral,Adverse event,BNF
69904,ritonavir,paralysis,Adverse event,SIDER
69905,ritonavir,parosmia,Adverse event,SIDER
69906,ritonavir,pelvic pain,Adverse event,SIDER
69907,ritonavir,penis disorder,Adverse event,SIDER
69908,ritonavir,peripheral coldness,Adverse event,SIDER
69909,ritonavir,peripheral coldness,Adverse event,BNF
69915,ritonavir,phlebitis,Adverse event,SIDER
69921,ritonavir,proctalgia,Adverse event,SIDER
69927,ritonavir,pyrexia,Adverse event,BNF
69929,ritonavir,rash maculo-papular,Adverse event,SIDER
69931,ritonavir,rectal haemorrhage,Adverse event,SIDER
69932,ritonavir,rectal tenesmus,Adverse event,SIDER
69937,ritonavir,renal pain,Adverse event,SIDER
69939,ritonavir,retinogram abnormal,Adverse event,SIDER
69941,ritonavir,scotoma,Adverse event,SIDER
69946,ritonavir,sialoadenitis,Adverse event,SIDER
69948,ritonavir,skin discolouration,Adverse event,SIDER
69950,ritonavir,skin hypertrophy,Adverse event,SIDER
69951,ritonavir,skin reaction,Adverse event,BNF
69956,ritonavir,speech disorder,Adverse event,SIDER
69958,ritonavir,stomatitis,Adverse event,SIDER
69960,ritonavir,subdural haematoma,Adverse event,SIDER
69964,ritonavir,taste disorder,Adverse event,BNF
69966,ritonavir,thinking abnormal,Adverse event,SIDER
69967,ritonavir,thirst,Adverse event,SIDER
69968,ritonavir,throat irritation,Adverse event,SIDER
69972,ritonavir,tinnitus,Adverse event,SIDER
69973,ritonavir,tongue disorder,Adverse event,SIDER
69974,ritonavir,tongue oedema,Adverse event,SIDER
69975,ritonavir,tooth abscess,Adverse event,SIDER
69992,ritonavir,vertigo,Adverse event,SIDER
69993,ritonavir,vestibular disorder,Adverse event,SIDER
69996,ritonavir,visual impairment,Adverse event,SIDER
69997,ritonavir,vitreous disorder,Adverse event,SIDER
70002,ritonavir,xanthomatosis,Adverse event,SIDER
70005,rivaroxaban,abdominal pain upper,Adverse event,SIDER
70008,rivaroxaban,allergic oedema,Adverse event,BNF
70009,rivaroxaban,amylase increased,Adverse event,SIDER
70012,rivaroxaban,anaemia postoperative,Adverse event,BNF
70022,rivaroxaban,bilirubin conjugated increased,Adverse event,SIDER
70024,rivaroxaban,blood and lymphatic system disorders,Adverse event,SIDER
70026,rivaroxaban,blood creatinine increased,Adverse event,SIDER
70027,rivaroxaban,blood lactate dehydrogenase increased,Adverse event,SIDER
70028,rivaroxaban,blood urea increased,Adverse event,SIDER
70034,rivaroxaban,cholestasis,Adverse event,SIDER
70035,rivaroxaban,compartment syndrome,Adverse event,SIDER
70036,rivaroxaban,conjunctival haemorrhage,Adverse event,SIDER
70054,rivaroxaban,ecchymosis,Adverse event,SIDER
70057,rivaroxaban,epidural haemorrhage,Adverse event,SIDER
70058,rivaroxaban,epistaxis,Adverse event,SIDER
70061,rivaroxaban,eye haemorrhage,Adverse event,SIDER
70062,rivaroxaban,fatal outcomes,Adverse event,SIDER
70065,rivaroxaban,gamma-glutamyltransferase increased,Adverse event,SIDER
70069,rivaroxaban,gingival bleeding,Adverse event,SIDER
70072,rivaroxaban,haematuria,Adverse event,SIDER
70074,rivaroxaban,haemoptysis,Adverse event,SIDER
70077,rivaroxaban,haemorrhage intracranial,Adverse event,SIDER
70078,rivaroxaban,haemorrhage intracranial,Adverse event,BNF
70081,rivaroxaban,hemiparesis,Adverse event,SIDER
70084,rivaroxaban,hepatobiliary disease,Adverse event,SIDER
70087,rivaroxaban,hypoperfusion,Adverse event,SIDER
70090,rivaroxaban,ill-defined disorder,Adverse event,SIDER
70091,rivaroxaban,immune system disorder,Adverse event,SIDER
70093,rivaroxaban,infestation,Adverse event,SIDER
70095,rivaroxaban,lipase increased,Adverse event,SIDER
70114,rivaroxaban,pain in extremity,Adverse event,SIDER
70115,rivaroxaban,pain in extremity,Adverse event,BNF
70117,rivaroxaban,post procedural haemorrhage,Adverse event,SIDER
70119,rivaroxaban,pruritus generalised,Adverse event,SIDER
70121,rivaroxaban,pulmonary haemorrhage,Adverse event,SIDER
70122,rivaroxaban,pyrexia,Adverse event,BNF
70124,rivaroxaban,rectal haemorrhage,Adverse event,SIDER
70128,rivaroxaban,retroperitoneal haemorrhage,Adverse event,SIDER
70132,rivaroxaban,skin reaction,Adverse event,BNF
70134,rivaroxaban,subdural haematoma,Adverse event,SIDER
70148,rivaroxaban,vascular pseudoaneurysm,Adverse event,SIDER
70149,rivaroxaban,vascular pseudoaneurysm,Adverse event,BNF
70152,rivaroxaban,wound complication,Adverse event,BNF
70153,rivaroxaban,wound haemorrhage,Adverse event,SIDER
70154,rivaroxaban,wound secretion,Adverse event,SIDER
70157,rivastigmine,abdominal pain upper,Adverse event,SIDER
70163,rivastigmine,ageusia,Adverse event,SIDER
70168,rivastigmine,alopecia,Adverse event,SIDER
70170,rivastigmine,amylase increased,Adverse event,SIDER
70172,rivastigmine,anaemia vitamin b12 deficiency,Adverse event,SIDER
70173,rivastigmine,aneurysm,Adverse event,SIDER
70178,rivastigmine,anorectal disorder,Adverse event,SIDER
70181,rivastigmine,apathy,Adverse event,SIDER
70182,rivastigmine,aphasia,Adverse event,SIDER
70184,rivastigmine,application site burn,Adverse event,SIDER
70185,rivastigmine,application site eczema,Adverse event,SIDER
70186,rivastigmine,application site erythema,Adverse event,SIDER
70187,rivastigmine,application site hypersensitivity,Adverse event,SIDER
70188,rivastigmine,application site irritation,Adverse event,SIDER
70189,rivastigmine,application site oedema,Adverse event,SIDER
70190,rivastigmine,application site pain,Adverse event,SIDER
70191,rivastigmine,application site pruritus,Adverse event,SIDER
70192,rivastigmine,application site rash,Adverse event,SIDER
70193,rivastigmine,apraxia,Adverse event,SIDER
70201,rivastigmine,asthenic conditions,Adverse event,SIDER
70206,rivastigmine,atrophic vulvovaginitis,Adverse event,SIDER
70209,rivastigmine,balance disorder,Adverse event,SIDER
70213,rivastigmine,bladder disorder,Adverse event,SIDER
70216,rivastigmine,blepharospasm,Adverse event,SIDER
70218,rivastigmine,blood alkaline phosphatase increased,Adverse event,SIDER
70219,rivastigmine,blood and lymphatic system disorders,Adverse event,SIDER
70220,rivastigmine,blood creatine phosphokinase increased,Adverse event,SIDER
70221,rivastigmine,blood prolactin increased,Adverse event,SIDER
70222,rivastigmine,body temperature decreased,Adverse event,SIDER
70231,rivastigmine,breath odour,Adverse event,SIDER
70232,rivastigmine,breath sounds abnormal,Adverse event,SIDER
70238,rivastigmine,cachexia,Adverse event,SIDER
70252,rivastigmine,cholecystitis,Adverse event,SIDER
70253,rivastigmine,cholelithiasis,Adverse event,SIDER
70257,rivastigmine,cold sweat,Adverse event,SIDER
70264,rivastigmine,congenital eye disorder,Adverse event,SIDER
70265,rivastigmine,congenital joint malformation,Adverse event,SIDER
70266,rivastigmine,conjunctival haemorrhage,Adverse event,SIDER
70287,rivastigmine,dental caries,Adverse event,SIDER
70293,rivastigmine,dermatitis allergic,Adverse event,SIDER
70301,rivastigmine,diplopia,Adverse event,SIDER
70304,rivastigmine,disturbance in sexual arousal,Adverse event,SIDER
70305,rivastigmine,diverticulitis,Adverse event,SIDER
70308,rivastigmine,drooling,Adverse event,SIDER
70312,rivastigmine,duodenitis haemorrhagic,Adverse event,SIDER
70313,rivastigmine,dysarthria,Adverse event,SIDER
70318,rivastigmine,dysphonia,Adverse event,SIDER
70320,rivastigmine,dysuria,Adverse event,SIDER
70321,rivastigmine,ear and labyrinth disorders,Adverse event,SIDER
70322,rivastigmine,ear disorder,Adverse event,SIDER
70325,rivastigmine,electrocardiogram abnormal,Adverse event,SIDER
70328,rivastigmine,endometrial hypertrophy,Adverse event,SIDER
70330,rivastigmine,epistaxis,Adverse event,SIDER
70332,rivastigmine,eructation,Adverse event,SIDER
70338,rivastigmine,eye pain,Adverse event,SIDER
70339,rivastigmine,eyelid disorder,Adverse event,SIDER
70340,rivastigmine,face oedema,Adverse event,SIDER
70341,rivastigmine,faecal incontinence,Adverse event,SIDER
70345,rivastigmine,flat affect,Adverse event,SIDER
70350,rivastigmine,freezing phenomenon,Adverse event,SIDER
70353,rivastigmine,gait disturbance,Adverse event,SIDER
70354,rivastigmine,gait disturbance,Adverse event,BNF
70365,rivastigmine,generalised oedema,Adverse event,SIDER
70368,rivastigmine,glossitis,Adverse event,SIDER
70369,rivastigmine,goitre,Adverse event,SIDER
70371,rivastigmine,haematemesis,Adverse event,SIDER
70372,rivastigmine,haematochezia,Adverse event,SIDER
70374,rivastigmine,haematuria,Adverse event,SIDER
70377,rivastigmine,haemorrhage intracranial,Adverse event,SIDER
70381,rivastigmine,"hallucination, visual",Adverse event,SIDER
70384,rivastigmine,heart sounds abnormal,Adverse event,SIDER
70385,rivastigmine,hemiparesis,Adverse event,SIDER
70388,rivastigmine,hepatobiliary disease,Adverse event,SIDER
70389,rivastigmine,hernia,Adverse event,SIDER
70402,rivastigmine,hyperpyrexia,Adverse event,SIDER
70403,rivastigmine,hyperreflexia,Adverse event,SIDER
70408,rivastigmine,hyperventilation,Adverse event,SIDER
70410,rivastigmine,hypochromic anaemia,Adverse event,SIDER
70414,rivastigmine,hyponatraemia,Adverse event,SIDER
70415,rivastigmine,hyporeflexia,Adverse event,SIDER
70418,rivastigmine,hypothermia,Adverse event,SIDER
70420,rivastigmine,ill-defined disorder,Adverse event,SIDER
70421,rivastigmine,increased appetite,Adverse event,SIDER
70423,rivastigmine,infection parasitic,Adverse event,SIDER
70424,rivastigmine,infestation,Adverse event,SIDER
70426,rivastigmine,influenza like illness,Adverse event,SIDER
70429,rivastigmine,intestinal obstruction,Adverse event,SIDER
70430,rivastigmine,lacrimal disorder,Adverse event,SIDER
70431,rivastigmine,lacrimation disorder,Adverse event,SIDER
70435,rivastigmine,libido decreased,Adverse event,SIDER
70436,rivastigmine,libido increased,Adverse event,SIDER
70437,rivastigmine,lipase increased,Adverse event,SIDER
70438,rivastigmine,liver function test abnormal,Adverse event,SIDER
70439,rivastigmine,liver function test increased,Adverse event,SIDER
70442,rivastigmine,lymphadenopathy,Adverse event,SIDER
70446,rivastigmine,mastitis,Adverse event,SIDER
70448,rivastigmine,melaena,Adverse event,SIDER
70449,rivastigmine,meniere's disease,Adverse event,SIDER
70454,rivastigmine,metrorrhagia,Adverse event,SIDER
70455,rivastigmine,micturition disorder,Adverse event,SIDER
70459,rivastigmine,motor dysfunction,Adverse event,SIDER
70460,rivastigmine,mouth ulceration,Adverse event,SIDER
70464,rivastigmine,muscle contractions involuntary,Adverse event,SIDER
70475,rivastigmine,nail disorder,Adverse event,SIDER
70489,rivastigmine,nightmare,Adverse event,SIDER
70490,rivastigmine,nightmare,Adverse event,BNF
70492,rivastigmine,nystagmus,Adverse event,SIDER
70495,rivastigmine,oesophageal rupture,Adverse event,SIDER
70505,rivastigmine,pain in extremity,Adverse event,SIDER
70511,rivastigmine,paranoia,Adverse event,SIDER
70512,rivastigmine,paresis,Adverse event,SIDER
70519,rivastigmine,periorbital oedema,Adverse event,SIDER
70520,rivastigmine,peripheral ischaemia,Adverse event,SIDER
70524,rivastigmine,phlebitis,Adverse event,SIDER
70530,rivastigmine,presyncope,Adverse event,SIDER
70531,rivastigmine,proctalgia,Adverse event,SIDER
70532,rivastigmine,prostatic adenoma,Adverse event,SIDER
70533,rivastigmine,prostatic disorder,Adverse event,SIDER
70540,rivastigmine,pyuria,Adverse event,SIDER
70542,rivastigmine,rash erythematous,Adverse event,SIDER
70543,rivastigmine,rash maculo-papular,Adverse event,SIDER
70544,rivastigmine,rectal haemorrhage,Adverse event,SIDER
70545,rivastigmine,rectal tenesmus,Adverse event,SIDER
70546,rivastigmine,red blood cell disorders,Adverse event,SIDER
70547,rivastigmine,renal cyst,Adverse event,SIDER
70556,rivastigmine,salivary hypersecretion,Adverse event,SIDER
70557,rivastigmine,salivary hypersecretion,Adverse event,BNF
70562,rivastigmine,sick sinus syndrome,Adverse event,SIDER
70565,rivastigmine,skin discolouration,Adverse event,SIDER
70568,rivastigmine,skin hypertrophy,Adverse event,SIDER
70569,rivastigmine,skin irritation,Adverse event,SIDER
70570,rivastigmine,skin papilloma,Adverse event,SIDER
70571,rivastigmine,skin reaction,Adverse event,BNF
70577,rivastigmine,speech disorder,Adverse event,SIDER
70578,rivastigmine,spine malformation,Adverse event,SIDER
70580,rivastigmine,subdural haematoma,Adverse event,SIDER
70581,rivastigmine,sudden cardiac death,Adverse event,SIDER
70590,rivastigmine,tendon disorder,Adverse event,SIDER
70593,rivastigmine,thirst,Adverse event,SIDER
70597,rivastigmine,tinnitus,Adverse event,SIDER
70598,rivastigmine,tooth disorder,Adverse event,SIDER
70612,rivastigmine,uterine disorder,Adverse event,SIDER
70613,rivastigmine,vaginal haemorrhage,Adverse event,SIDER
70616,rivastigmine,varicose vein,Adverse event,SIDER
70617,rivastigmine,vascular purpura,Adverse event,SIDER
70619,rivastigmine,vertigo,Adverse event,SIDER
70620,rivastigmine,vestibular disorder,Adverse event,SIDER
70623,rivastigmine,visual impairment,Adverse event,SIDER
70634,rizatriptan,akinesia,Adverse event,SIDER
70660,rizatriptan,colitis ischaemic,Adverse event,BNF
70670,rizatriptan,depressed level of consciousness,Adverse event,BNF
70679,rizatriptan,dry eye,Adverse event,SIDER
70682,rizatriptan,dry throat,Adverse event,SIDER
70683,rizatriptan,dysaesthesia,Adverse event,SIDER
70684,rizatriptan,dysarthria,Adverse event,SIDER
70689,rizatriptan,dysphonia,Adverse event,SIDER
70692,rizatriptan,dysuria,Adverse event,SIDER
70693,rizatriptan,ear and labyrinth disorders,Adverse event,SIDER
70695,rizatriptan,epistaxis,Adverse event,SIDER
70696,rizatriptan,eructation,Adverse event,SIDER
70699,rizatriptan,eye burns,Adverse event,SIDER
70700,rizatriptan,eye irritation,Adverse event,SIDER
70701,rizatriptan,eye pain,Adverse event,SIDER
70702,rizatriptan,eye pruritus,Adverse event,SIDER
70703,rizatriptan,eye swelling,Adverse event,SIDER
70704,rizatriptan,face oedema,Adverse event,SIDER
70705,rizatriptan,face oedema,Adverse event,BNF
70709,rizatriptan,feeling cold,Adverse event,SIDER
70712,rizatriptan,gait disturbance,Adverse event,SIDER
70716,rizatriptan,hangover,Adverse event,SIDER
70722,rizatriptan,hyperacusis,Adverse event,SIDER
70723,rizatriptan,hyperaesthesia,Adverse event,SIDER
70733,rizatriptan,hyporeflexia,Adverse event,SIDER
70734,rizatriptan,increased appetite,Adverse event,SIDER
70741,rizatriptan,medication overuse headache,Adverse event,SIDER
70744,rizatriptan,menstrual disorder,Adverse event,SIDER
70760,rizatriptan,nasal dryness,Adverse event,SIDER
70771,rizatriptan,pain in jaw,Adverse event,SIDER
70775,rizatriptan,paralysis,Adverse event,SIDER
70776,rizatriptan,parosmia,Adverse event,SIDER
70777,rizatriptan,peripheral coldness,Adverse event,SIDER
70779,rizatriptan,pharyngeal oedema,Adverse event,SIDER
70782,rizatriptan,photopsia,Adverse event,SIDER
70786,rizatriptan,presyncope,Adverse event,SIDER
70790,rizatriptan,regurgitation,Adverse event,SIDER
70793,rizatriptan,sensation of pressure,Adverse event,SIDER
70794,rizatriptan,serotonin syndrome,Adverse event,SIDER
70795,rizatriptan,serotonin syndrome,Adverse event,BNF
70797,rizatriptan,sinus disorder,Adverse event,SIDER
70798,rizatriptan,skin reaction,Adverse event,BNF
70803,rizatriptan,swollen tongue,Adverse event,SIDER
70804,rizatriptan,swollen tongue,Adverse event,BNF
70809,rizatriptan,taste disorder,Adverse event,BNF
70810,rizatriptan,temperature intolerance,Adverse event,SIDER
70812,rizatriptan,thirst,Adverse event,SIDER
70813,rizatriptan,thirst,Adverse event,BNF
70814,rizatriptan,tinnitus,Adverse event,SIDER
70815,rizatriptan,tongue disorder,Adverse event,SIDER
70816,rizatriptan,tongue oedema,Adverse event,SIDER
70824,rizatriptan,vasodilatation,Adverse event,BNF
70828,rizatriptan,vertigo,Adverse event,SIDER
70829,rizatriptan,vertigo,Adverse event,BNF
70834,rizatriptan,wheezing,Adverse event,SIDER
70835,rizatriptan,wheezing,Adverse event,BNF
70836,rizatriptan,yawning,Adverse event,SIDER
70846,rocuronium,circulatory collapse,Adverse event,BNF
70848,rocuronium,electrocardiogram abnormal,Adverse event,SIDER
70849,rocuronium,face oedema,Adverse event,BNF
70855,rocuronium,hyperthermia malignant,Adverse event,BNF
